# energy grid [eV]     epsr_x  epsr_y  epsr_z
#
   22.237505843   -0.419857227   -0.388115629   -0.386137688
   22.304282137   -0.395341567   -0.372445532   -0.371008203
   22.371058431   -0.367984350   -0.352371002   -0.351384852
   22.437834725   -0.369465979   -0.347239334   -0.345841856
   22.504611018   -0.348043116   -0.349621223   -0.349726890
   22.571387312   -0.309227065   -0.336770866   -0.338499335
   22.638163606   -0.271917101   -0.312661349   -0.315212760
   22.704939900   -0.263386838   -0.320223040   -0.323770193
   22.771716194   -0.290298191   -0.300541643   -0.301179707
   22.838492487   -0.273277395   -0.253962738   -0.252749028
   22.905268781   -0.222431780   -0.219486751   -0.219298190
   22.972045075   -0.228906156   -0.225237351   -0.225004622
   23.038821369   -0.236148019   -0.209602196   -0.207943939
   23.105597663   -0.194295198   -0.178052983   -0.177026970
   23.172373957   -0.207898080   -0.149560863   -0.145922840
   23.239150250   -0.235968195   -0.175040556   -0.171239578
   23.305926544   -0.212372422   -0.212557491   -0.212563957
   23.372702838   -0.196512240   -0.211268678   -0.212201023
   23.439479132   -0.160774145   -0.168732358   -0.169233826
   23.506255426   -0.154322376   -0.165885546   -0.166610050
   23.573031720   -0.157922327   -0.168876322   -0.169564630
   23.639808013   -0.149980544   -0.145638581   -0.145364758
   23.706584307   -0.153318691   -0.153461086   -0.153458884
   23.773360601   -0.158514296   -0.165235346   -0.165656037
   23.840136895   -0.137191546   -0.122297239   -0.121370090
   23.906913189   -0.113666466   -0.095278506   -0.094126575
   23.973689482   -0.110043409   -0.069798528   -0.067283723
   24.040465776   -0.047384474   -0.036620952   -0.035944895
   24.107242070   -0.009730882   -0.015620097   -0.015987589
   24.174018364   -0.020363576    0.000398277    0.001700381
   24.240794658   -0.007467506    0.003109250    0.003769964
   24.307570952    0.008739340    0.010149245    0.010242995
   24.374347245    0.036485811    0.023262353    0.022433877
   24.441123539    0.075661467    0.040665743    0.038476118
   24.507899833    0.058335476    0.004917305    0.001577791
   24.574676127    0.032005978    0.004573462    0.002856604
   24.641452421    0.032317818    0.018143765    0.017251008
   24.708228715    0.057423149    0.052383045    0.052069218
   24.775005008    0.047581163    0.051422134    0.051663654
   24.841781302    0.078843920    0.070008524    0.069453979
   24.908557596    0.092179790    0.075671049    0.074631860
   24.975333890    0.124612218    0.102895888    0.101541099
   25.042110184    0.136472683    0.131392793    0.131084060
   25.108886477    0.147112985    0.135291466    0.134556433
   25.175662771    0.157132523    0.148041385    0.147467342
   25.242439065    0.151251637    0.150970688    0.150957173
   25.309215359    0.151002805    0.160978594    0.161595097
   25.375991653    0.174037162    0.190737163    0.191773529
   25.442767947    0.192250550    0.190715148    0.190619685
   25.509544240    0.191126210    0.177951079    0.177126491
   25.576320534    0.219542753    0.210181286    0.209602021
   25.643096828    0.264351402    0.243124839    0.241798333
   25.709873122    0.257590780    0.256861017    0.256810586
   25.776649416    0.202253393    0.231217273    0.233026337
   25.843425710    0.196668593    0.204238951    0.204717386
   25.910202003    0.236761342    0.225950894    0.225275605
   25.976978297    0.262727697    0.272446338    0.273054983
   26.043754591    0.260360372    0.276590885    0.277606247
   26.110530885    0.252128509    0.283243638    0.285189613
   26.177307179    0.234252597    0.267710706    0.269801557
   26.244083472    0.240274866    0.235731146    0.235450603
   26.310859766    0.259453247    0.236626631    0.235195815
   26.377636060    0.279422017    0.276174986    0.275965701
   26.444412354    0.277172438    0.306142284    0.307951009
   26.511188648    0.271776919    0.299679435    0.301424683
   26.577964942    0.259764798    0.268796652    0.269365128
   26.644741235    0.292839373    0.296649677    0.296892200
   26.711517529    0.329393337    0.320017462    0.319432584
   26.778293823    0.335936855    0.318901732    0.317835372
   26.845070117    0.312266487    0.318725782    0.319127408
   26.911846411    0.325451274    0.317188433    0.316668847
   26.978622705    0.327271718    0.325523759    0.325414673
   27.045398998    0.313308236    0.305300249    0.304803664
   27.112175292    0.314947524    0.310917902    0.310670510
   27.178951586    0.313562531    0.311732860    0.311617858
   27.245727880    0.347050298    0.318256335    0.316449829
   27.312504174    0.341242913    0.318137188    0.316690652
   27.379280467    0.365323699    0.341480780    0.339991701
   27.446056761    0.390666367    0.364044334    0.362380479
   27.512833055    0.377327390    0.382886363    0.383237944
   27.579609349    0.345895503    0.368939222    0.370379277
   27.646385643    0.323567785    0.356022371    0.358047752
   27.713161937    0.338293734    0.349265043    0.349953301
   27.779938230    0.357683732    0.362962065    0.363294062
   27.846714524    0.389507413    0.392071935    0.392232086
   27.913490818    0.419153969    0.417469570    0.417358734
   27.980267112    0.427277977    0.441423706    0.442304999
   28.047043406    0.424428429    0.444543174    0.445799495
   28.113819699    0.427046925    0.443333083    0.444350930
   28.180595993    0.423538585    0.426359590    0.426538085
   28.247372287    0.437332138    0.423090372    0.422202457
   28.314148581    0.442527646    0.436768270    0.436411913
   28.380924875    0.475282406    0.451247903    0.449747245
   28.447701169    0.488980563    0.460326317    0.458534187
   28.514477462    0.478764693    0.470955859    0.470466338
   28.581253756    0.508788194    0.503234342    0.502880864
   28.648030050    0.500357967    0.512439358    0.513192950
   28.714806344    0.467122499    0.474898018    0.475385022
   28.781582638    0.467574420    0.467493733    0.467490540
   28.848358932    0.485468704    0.484900701    0.484864036
   28.915135225    0.494973127    0.498570818    0.498791611
   28.981911519    0.503458653    0.509392917    0.509762024
   29.048687813    0.529554721    0.526238614    0.526034202
   29.115464107    0.541225684    0.529842950    0.529131043
   29.182240401    0.571239619    0.537046101    0.534907078
   29.249016694    0.595485178    0.573324670    0.571940773
   29.315792988    0.590992889    0.583381403    0.582903280
   29.382569282    0.552063294    0.580713818    0.582503243
   29.449345576    0.555474466    0.581316191    0.582936947
   29.516121870    0.582488736    0.593677232    0.594376332
   29.582898164    0.597331136    0.600154332    0.600332764
   29.649674457    0.598814224    0.598524853    0.598509082
   29.716450751    0.607772877    0.621380581    0.622230823
   29.783227045    0.614363667    0.633171141    0.634346713
   29.850003339    0.641999063    0.636616161    0.636283255
   29.916779633    0.641046803    0.631077141    0.630453598
   29.983555927    0.652447580    0.646345180    0.645960693
   30.050332220    0.641653780    0.653074603    0.653780288
   30.117108514    0.615494430    0.645070642    0.646919349
   30.183884808    0.640541207    0.660245440    0.661482513
   30.250661102    0.668106714    0.671274294    0.671472832
   30.317437396    0.698187499    0.692462394    0.692105895
   30.384213689    0.707232607    0.721322799    0.722202517
   30.450989983    0.716615577    0.736031171    0.737242634
   30.517766277    0.759720036    0.751282266    0.750751228
   30.584542571    0.778060189    0.755201495    0.753770354
   30.651318865    0.808286954    0.776519576    0.774536250
   30.718095159    0.804563390    0.779808041    0.778254770
   30.784871452    0.794708778    0.783305748    0.782596122
   30.851647746    0.797589233    0.796863454    0.796823831
   30.918424040    0.804201969    0.823594797    0.824807537
   30.985200334    0.834933113    0.853738421    0.854915744
   31.051976628    0.825153925    0.845348071    0.846610346
   31.118752922    0.860610870    0.882474778    0.883840359
   31.185529215    0.866230346    0.884927797    0.886093074
   31.252305509    0.839540768    0.868350061    0.870154357
   31.319081803    0.839607235    0.871970469    0.873991989
   31.385858097    0.846911784    0.854583066    0.855058178
   31.452634391    0.850920893    0.847286292    0.847059191
   31.519410684    0.838773185    0.832752229    0.832378211
   31.586186978    0.834157355    0.851190837    0.852259440
   31.652963272    0.843103470    0.859680261    0.860716823
   31.719739566    0.870354527    0.892699902    0.894097861
   31.786515860    0.896500323    0.913430609    0.914488616
   31.853292154    0.901178435    0.901427460    0.901439464
   31.920068447    0.878447018    0.878421248    0.878413021
   31.986844741    0.824350280    0.802376218    0.801002283
   32.053621035    0.830462541    0.808987878    0.807650831
   32.120397329    0.825414508    0.824767289    0.824726220
   32.187173623    0.840268714    0.837892478    0.837749420
   32.253949917    0.840398975    0.829383883    0.828697781
   32.320726210    0.830132757    0.820012565    0.819388215
   32.387502504    0.829747327    0.799129071    0.797221226
   32.454278798    0.752090995    0.733347232    0.732175935
   32.521055092    0.730277398    0.731181379    0.731244706
   32.587831386    0.745110483    0.751098637    0.751475417
   32.654607679    0.747953780    0.738134535    0.737522028
   32.721383973    0.724809746    0.737530386    0.738327458
   32.788160267    0.728376455    0.723037813    0.722694867
   32.854936561    0.736633314    0.692913825    0.690178583
   32.921712855    0.744570580    0.700661238    0.697913144
   32.988489149    0.757716898    0.710655747    0.707711836
   33.055265442    0.737289346    0.693065791    0.690310646
   33.122041736    0.635265833    0.646684938    0.647399951
   33.188818030    0.607859520    0.642300385    0.644454990
   33.255594324    0.626144646    0.637476404    0.638174820
   33.322370618    0.630340639    0.620194334    0.619563264
   33.389146912    0.597115800    0.610393769    0.611224947
   33.455923205    0.588044042    0.617072031    0.618890772
   33.522699499    0.602026341    0.617857313    0.618844342
   33.589475793    0.586349305    0.591103395    0.591396531
   33.656252087    0.566892762    0.562996748    0.562758227
   33.723028381    0.528467422    0.539019818    0.539680470
   33.789804674    0.463888423    0.503127254    0.505581887
   33.856580968    0.441028009    0.498888633    0.502505392
   33.923357262    0.436074222    0.496171197    0.499923804
   33.990133556    0.422489138    0.489629856    0.493820820
   34.056909850    0.390808753    0.435711220    0.438524473
   34.123686144    0.368109616    0.380220441    0.380979918
   34.190462437    0.377805355    0.378981871    0.379055391
   34.257238731    0.376867005    0.381066835    0.381332543
   34.324015025    0.390722247    0.399775673    0.400343470
   34.390791319    0.371144685    0.389400363    0.390548592
   34.457567613    0.398341504    0.410414131    0.411171557
   34.524343907    0.423091340    0.430991891    0.431483270
   34.591120200    0.455039478    0.429484844    0.427889310
   34.657896494    0.487809082    0.429610305    0.425962281
   34.724672788    0.506556239    0.461626016    0.458816903
   34.791449082    0.510135277    0.473547891    0.471266696
   34.858225376    0.483859831    0.459721930    0.458214934
   34.925001669    0.493427947    0.454111720    0.451646459
   34.991777963    0.492699913    0.432336553    0.428559361
   35.058554257    0.493216883    0.443423909    0.440308749
   35.125330551    0.506757598    0.470108312    0.467808362
   35.192106845    0.508251626    0.491536972    0.490488265
   35.258883139    0.498270182    0.496590355    0.496483172
   35.325659432    0.506390393    0.483060692    0.481603650
   35.392435726    0.522597936    0.481366276    0.478790696
   35.459212020    0.553963631    0.504228931    0.501117756
   35.525988314    0.562595811    0.507486583    0.504037889
   35.592764608    0.550517260    0.513388118    0.511065589
   35.659540902    0.558846782    0.538186664    0.536897641
   35.726317195    0.576374085    0.553130163    0.551678911
